siren,siret_siege,denomination,nom_usage,sigle,naf,naf_numerique,tags_numerique,categorie_juridique,famille_ess,flag_ess_sirene,est_active,date_creation,tranche_effectifs,annee_effectifs,categorie_entreprise,caractere_employeur,societe_mission,rna,code_postal,commune,site_web,nom_structure_porteuse,sources,origines,methode_jointure,confiance_jointure,score_enrichissement
325156842,32515684200016,ASS REG INFORMATION DOCUMENTATION ETUDES,,ARIDE,63.11Z,True,hebergement,9220.0,association,True,True,1981-10-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
325223428,32522342800013,OFFRAMATIQUE,,,63.11Z,True,hebergement,9220.0,association,True,True,1982-06-14,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
325437960,32543796000033,DECUS FRANCE,,,63.11Z,True,hebergement,9220.0,association,,False,1972-07-28,NN,,,,,W923001108,,,,,sirene,cate_x_naf,siren_direct,1.0,0.75
325577856,32557785600017,ASSOCIATION OCTA,,,62.02A,True,conseil_it,9220.0,association,True,True,1981-09-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
325894467,32589446700019,ASS FORMAT CADRES GROUPE CIC,,,63.11Z,True,hebergement,9220.0,association,True,True,1979-09-03,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
325932077,32593207700036,CENTRE DIFFUSION DOCUMENTAT SPECTACLE,,CDDS,63.11Z,True,hebergement,9220.0,association,True,True,1982-12-01,NN,,PME,,,W223000705,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
325964237,32596423700011,SOCIETE D AGRICULTURE DEVELOPPEMENT ET INFORMATIQUE A.D.I.F,,ADIF,62.02B,True,conseil_it,5432.0,,True,False,1982-11-24,NN,,,,,,,,,,sirene,ess_flag_insee,siren_direct,1.0,0.58
325965101,32596510100018,CELLULE ECONOMIQUE DE PICARDIE,,,63.11Z,True,hebergement,9220.0,association,True,True,1982-05-02,NN,,PME,,,W802004325,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.75
326398583,32639858300012,ASSOCIATION DECLINAISONS,,,63.11Z,True,hebergement,9220.0,association,True,True,1982-09-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
326833316,32683331600010,ASS FORAGE BTP,,,62.02A,True,conseil_it,9220.0,association,True,True,1983-01-07,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
326836368,32683636800018,ASSOCIATION DES TROIS MONDES,,,63.11Z,True,hebergement,9220.0,association,True,True,1982-08-02,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
327166963,32716696300014,ADICE,,,63.11Z,True,hebergement,9220.0,association,True,True,1983-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
327327326,32732732600010,ARTISTE MONDE CONTRE APARTHEID,,,63.11Z,True,hebergement,9220.0,association,True,True,1983-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
327420824,32742082400044,Espac'Num,,,88.99B,False,,9220.0,association,True,True,1983-01-01,12,2023.0,PME,,,W492000686,49600.0,Beaupréau-en-Mauges,https://evreetmauges.centres-sociaux.fr/,Centre Social Evre et Mauges,tiers_lieux,tiers_lieux,scoring,0.9,1.0
327438966,32743896600035,APLON NORD,,,63.11Z,True,hebergement,9220.0,association,True,False,1983-01-01,NN,,,,,W621005030,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
327968863,32796886300024,ASSOCIATION DISTRICT INFORMATIONS,,,63.11Z,True,hebergement,9220.0,association,True,True,1983-07-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
328163589,32816358900026,ASS RENNES VERTE,,,63.11Z,True,hebergement,9220.0,association,True,True,1983-02-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
328348024,32834802400014,INOVAT DEVELOP CONSEIL ID PLUS,,,63.11Z,True,hebergement,9220.0,association,True,True,1983-07-13,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
