siren,denominationUniteLegale,nomUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,categorieJuridiqueUniteLegale,trancheEffectifsUniteLegale,sources,methode_jointure
900905928,ND PARTNER,,62.02A,O,5499,01,sirene,siren_direct
900973124,POTAGER.ORG,,63.11Z,O,9220,NN,sirene,siren_direct
900998790,LAWANI PARTNERS,,62.02A,O,5499,01,sirene,siren_direct
901076927,SERVICE INFORMATIQUE PARTAGE POUR ESMS,,62.02A,O,9220,NN,sirene,siren_direct
901090845,PROJECT HEBERG,,63.11Z,O,9220,NN,sirene,siren_direct
901091199,LUX SINE NOMINE,,58.21Z,O,9220,NN,sirene,siren_direct
901260893,NCH IT CONSULTING,,62.02A,O,5499,NN,sirene,siren_direct
901277798,DAYHOSTING,,63.11Z,O,9220,NN,sirene,siren_direct
901287045,NAN'TECH CARE,,62.01Z,O,5710,01,sirene,siren_direct
901303933,EDIN TECHNOLOGIES SAS,,62.01Z,O,5710,NN,sirene,siren_direct
901315069,SOCIAL MUSIC AWARDS,,63.12Z,O,9220,NN,sirene,siren_direct
901316620,AXODAGH CONSULTING,,62.02A,O,5499,NN,sirene,siren_direct
901419085,EKIPOZ,,62.01Z,O,5710,NN,sirene,siren_direct
901447417,CLUSTERHEBERG,,63.11Z,O,9220,NN,sirene,siren_direct
901493817,DATAXWAY,,63.11Z,O,9220,NN,sirene,siren_direct
901585257,GALAXY GROUP,,63.11Z,O,9220,NN,sirene,siren_direct
901613943,YALGOW,,62.01Z,O,5710,NN,sirene,siren_direct
901649491,PLAN DE MATCH,,63.12Z,O,9220,NN,sirene,siren_direct
901661215,TECHREEF,,62.01Z,O,5710,NN,sirene,siren_direct
901754333,INSERMATIK,,62.01Z,O,9220,NN,sirene,siren_direct
901841783,SPACEINT,,63.11Z,O,9220,NN,sirene,siren_direct
901916684,LIFELINE,,58.21Z,O,5710,03,sirene,siren_direct
901925172,CRESCENDO MEDIA,,63.11Z,O,9220,NN,sirene,siren_direct
901925669,CERFIA,,63.11Z,O,9220,NN,sirene,siren_direct
902065382,INMYBET,,63.11Z,O,5710,NN,sirene,siren_direct
902210038,ACTIONS ET DIFFUSION,,63.12Z,O,9220,NN,sirene,siren_direct
902259662,ANAPTIXI,,63.12Z,O,9220,NN,sirene,siren_direct
902261015,HUBIDIUM,,63.11Z,O,9220,NN,sirene,siren_direct
902299023,COREHOST SOLUTIONS,,63.11Z,O,9220,NN,sirene,siren_direct
902331479,WORKNET,,62.02B,O,5710,11,sirene,siren_direct
902372481,SESTERCE GROUP,,63.12Z,O,5710,NN,sirene,siren_direct
902420223,HALL OF CHANGE,,63.12Z,O,5710,NN,sirene,siren_direct
902420363,WAYS2SAFE,,62.02A,O,5710,NN,sirene,siren_direct
902434448,MORSO,,62.01Z,O,9220,NN,sirene,siren_direct
902461201,MY HEBERGE,,63.11Z,O,9220,NN,sirene,siren_direct
902468040,ALOUETTE,,62.01Z,O,9220,NN,sirene,siren_direct
902571116,CLOUDHEBERGE,,63.11Z,O,9220,NN,sirene,siren_direct
902588417,NDS-HEBERG,,63.11Z,O,9220,NN,sirene,siren_direct
