siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
311337240;ess_france|sirene;ess_numerique;siren_direct;;SOCIETE DES PHARMACIENS DU CENTRE;;;;;63.11Z;;;;;;;;;;;True;hebergement
311768972;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CIMA EST;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
312409204;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;NOISY LE GRAND AUJOURD HUI DEMAIN;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
312868755;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASSOCIATION  POUR LE PAYS D' OC;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
313167116;ess_france|sirene;ess_numerique;siren_direct;;SERVICES ET MAINTENANCE INFORMATIQUE;;;;;62.01Z;;;;;;;;;;;True;dev_logiciel
313641557;ess_france|sirene;ess_numerique;siren_direct;;OFFICE GESTION ENTREP ARTISANALES OISE;;;;;62.02A;;;;;;;;;;;True;conseil_it
313967945;sirene;cate_juridique;siren_direct;;SYNERGIE EST @RSOE - UNION DE COOPERATIVES DE SERVICES AUX ORGANISMES D'ELEVAGE ET D'EXPLOITATION DES DONNEES;;;;;62.01Z;NN;6318.0;;;;;;;;cooperative;True;dev_logiciel
314175613;sirene;cate_juridique;siren_direct;;UNION COOP AGR CENTRE POUR INFORM GESTI;;;;;62.01Z;NN;6318.0;;;;;;;;cooperative;True;dev_logiciel
315249771;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS GESTION INFORMAT BATIM TRAVAUX PUBLI;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
315576983;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;INSTITUT DE SEMINAIRES INTERNA;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
316313592;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;VILLENEUVE ST GEORGES INFOR;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
317119774;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ORGAN TEMPOR 10 COLLOQ RADIO IMMONOLOGUE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
317252799;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS VALLEE OISE ORGAN CONGRES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
317454114;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;LES AMIS DU PERE LEBRET;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
317495646;ess_france|sirene;ess_numerique;siren_direct;;ALMA;;;;;62.01Z;;;;;;;;;;;True;dev_logiciel
317517654;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTRE ETUDES MICRO ORDINATEUR SERVICES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
317888162;sirene;cate_juridique;siren_direct;;CHAROLAIS INFORMATIQUE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
318149069;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;VIDEOGRAMME DE L ELYSEES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
318636123;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CTRE DOCUMENTATION TIERS MONDE;;;;;63.11Z;1;9220.0;;;;;;;;association;True;hebergement
318685757;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CLUB INFORMAT DU DETAIL;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
318720810;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;GROUPE LIEUX COMMUNS;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
319393500;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;COPROPRIETE LE FONTAINEBLEAU;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
319754883;sirene;cate_juridique;siren_direct;;ASSOC INTERPROF SERV SUD AISNE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
320279755;sirene;cate_juridique;siren_direct;;CTRE INFORM MUTUAL AGRIC FLAND ART PICAR;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
