siren,sources,origines,methode_jointure,confiance_jointure,denomination,code_postal,commune,site_web,nom_structure_porteuse,naf,tranche_effectifs,categorie_juridique,group_naf,group_cate,denomination__tiers_lieux,code_postal__tiers_lieux,commune__tiers_lieux,site_web__tiers_lieux,nom_usage,denomination__ess_x_naf,denomination__cate_x_naf,denomination__ess_flag_insee,famille_ess,naf_numerique,tags_numerique,naf_enrich_source,naf_enrich_method,categorie_juridique_enrich_source,categorie_juridique_enrich_method,tranche_effectifs_enrich_source,tranche_effectifs_enrich_method,denomination_enrich_source,denomination_enrich_method,nom_usage_enrich_source,nom_usage_enrich_method,sigle_enrich_source,sigle_enrich_method,sigle,date_creation_enrich_source,date_creation_enrich_method,date_creation,est_active_enrich_source,est_active_enrich_method,est_active,rna_enrich_source,rna_enrich_method,rna,flag_ess_sirene_enrich_source,flag_ess_sirene_enrich_method,flag_ess_sirene,caractere_employeur_enrich_source,caractere_employeur_enrich_method,caractere_employeur,categorie_entreprise_enrich_source,categorie_entreprise_enrich_method,categorie_entreprise,societe_mission_enrich_source,societe_mission_enrich_method,societe_mission,annee_effectifs_enrich_source,annee_effectifs_enrich_method,annee_effectifs,siret_siege,siret_siege_enrich_source,siret_siege_enrich_method
302997986,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS DOCUMENTATION SCIENT INDUST COMMERCI,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30299798600013,sirene,siren_direct
303891915,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOC FRANCAISE MICADO,,,,,63.11Z,02,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,1974-12-24,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,sirene,siren_direct,2023.0,30389191500090,sirene,siren_direct
306016411,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CENTRE CULTUREL LUTHERIEN DE PARIS,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30601641100010,sirene,siren_direct
306169905,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CARREFOUR INTERPROFESSIONNEL DU MONDE AGRICOLE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,sirene,siren_direct,CIMA 53,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,sirene,siren_direct,W532003196,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30616990500024,sirene,siren_direct
306215179,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,FEDERATION ASSOCI REGIO PENELO,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,sirene,siren_direct,W751234290,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30621517900012,sirene,siren_direct
306387390,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,OFFICE POUR INFORMAT DOCUMENT APICULTURE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,sirene,siren_direct,OPIDA,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,sirene,siren_direct,W612000586,sirene,siren_direct,True,,,,,,,,,,,,,30638739000017,sirene,siren_direct
306988072,sirene,ess_flag_insee,siren_direct,1.0,SOC ETUDE SYSTEMES INFORMATIONS,,,,,62.01Z,11,5710.0,,,,,,,,,,,,True,dev_logiciel,,,,,,,,,,,sirene,siren_direct,SESIN,sirene,siren_direct,1976-01-01,sirene,siren_direct,True,,,,sirene,siren_direct,True,,,,sirene,siren_direct,PME,sirene,siren_direct,N,sirene,siren_direct,2023.0,30698807200063,sirene,siren_direct
307167965,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CELLULE ECONOM REGION AUVERGNE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,sirene,siren_direct,BTPMC,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,sirene,siren_direct,W632005753,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,,,,30716796500036,sirene,siren_direct
308051135,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS DEP MAIRES ADJOINTS ET CONSEIL GENER,,,,,62.02A,11,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it,,,,,,,,,,,,,,sirene,siren_direct,1982-10-01,sirene,siren_direct,True,sirene,siren_direct,W741000558,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,sirene,siren_direct,2023.0,30805113500025,sirene,siren_direct
308208461,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ARSOE NORD EST,,,,,63.11Z,03,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement,,,,,,,,,,,,,,sirene,siren_direct,1900-01-01,sirene,siren_direct,True,sirene,siren_direct,W543006859,sirene,siren_direct,True,,,,sirene,siren_direct,PME,,,,sirene,siren_direct,2023.0,30820846100019,sirene,siren_direct
