siren,sources,origines,methode_jointure,confiance_jointure,denomination,code_postal,commune,site_web,nom_structure_porteuse,naf,tranche_effectifs,categorie_juridique,group_naf,group_cate,denomination__tiers_lieux,code_postal__tiers_lieux,commune__tiers_lieux,site_web__tiers_lieux,nom_usage,denomination__ess_x_naf,denomination__cate_x_naf,denomination__ess_flag_insee,famille_ess,naf_numerique,tags_numerique
310238894,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CONSEILS ET SERVICES POUR L'INFORMATIQUE,,,,,58.29C,NN,5560.0,group_naf_1,group_cate_2,,,,,,,,,cooperative,True,edition_logiciel
311158380,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CAICL INFORM CONSTR DE LORRAIN,,,,,63.11Z,01,9260.0,group_naf_1,group_cate_2,,,,,,,,,association,True,hebergement
311337240,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,SOCIETE DES PHARMACIENS DU CENTRE,,,,,63.11Z,12,5560.0,group_naf_1,group_cate_2,,,,,,,,,cooperative,True,hebergement
311768972,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CIMA EST,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
312365042,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CIMARAL CENT INFORM MUT AGRICO,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
312409204,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,NOISY LE GRAND AUJOURD HUI DEMAIN,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
312868755,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION  POUR LE PAYS D' OC,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
313167116,ess_france|sirene,ess_flag_insee|ess_x_naf,siren_direct,1.0,SERVICES ET MAINTENANCE INFORMATIQUE,,,,,62.01Z,NN,5532.0,,,,,,,,,,,,True,dev_logiciel
313641557,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,OFFICE GESTION ENTREP ARTISANALES OISE,,,,,62.02A,NN,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
313967945,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,SYNERGIE EST @RSOE - UNION DE COOPERATIVES DE SERVICES AUX ORGANISMES D'ELEVAGE ET D'EXPLOITATION DES DONNEES,,,,,62.01Z,NN,6318.0,group_naf_1,group_cate_1,,,,,,,,,cooperative,True,dev_logiciel
314175613,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,UNION COOP AGR CENTRE POUR INFORM GESTI,,,,,62.01Z,NN,6318.0,group_naf_1,group_cate_1,,,,,,,,,cooperative,True,dev_logiciel
315249771,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS GESTION INFORMAT BATIM TRAVAUX PUBLI,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
315576983,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,INSTITUT DE SEMINAIRES INTERNA,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
316313592,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,VILLENEUVE ST GEORGES INFOR,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
317119774,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ORGAN TEMPOR 10 COLLOQ RADIO IMMONOLOGUE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
317252799,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS VALLEE OISE ORGAN CONGRES,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
317454114,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,LES AMIS DU PERE LEBRET,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
317495646,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ALMA,,,,,62.01Z,22,5560.0,group_naf_1,group_cate_2,,,,,,,,,cooperative,True,dev_logiciel
317517654,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CENTRE ETUDES MICRO ORDINATEUR SERVICES,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
317888162,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CHAROLAIS INFORMATIQUE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
318149069,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,VIDEOGRAMME DE L ELYSEES,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
318636123,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CTRE DOCUMENTATION TIERS MONDE,,,,,63.11Z,01,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
318685757,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CLUB INFORMAT DU DETAIL,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
318720810,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,GROUPE LIEUX COMMUNS,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
319393500,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,COPROPRIETE LE FONTAINEBLEAU,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
319754883,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,ASSOC INTERPROF SERV SUD AISNE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
320279755,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,CTRE INFORM MUTUAL AGRIC FLAND ART PICAR,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
321069874,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASSOCIATION CHAMPOLLION,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
321079600,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,IMAGICIEL,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
322259425,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,AIDE INFORMATION COLLECTIVITE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
